plant_id,model,year,manufacturer,serial_number,status,crew_name,attachment
525-1,CAT 525 skidder - (Bollicks) - Sold May 2023,2007,CAT,CAT0525CJ52500379,Terminated,Workshop,null
748H-2,John Deere 748H-2,2012,John Deere,1DW748HXJBC639556,Active,BGB,null
T630-1,Tiger Cat 630D,2011,Tigercat,6303205,Active,Boar,null
648H-2,John Deere 648H-2,0,John Deere,IDW648HXVBC636705,Active,Chamois,null
632-2,Tigercat 632E (Andy Billingsley),2019,Tigercat,6320275,Active,BBC,null
648H-3,John Deere 648H-3,2011,John Deere,1DW648HXJB0635227,Active,Workshop,null
948L-1,John Deere 948L,null,John Deere,1DW948LXLFC672214,Active,NBL765,null
T635-1,Tigercat 635D 6 wheel,null,Tigercat,6351103,Active,Boar,null
848H-1,848H John Deer Grapple Skidder - (Bollicks),2012,John Deere,1DW848HXLCC646647,Active,Bryant,null
632-3,Tiger Cat 632H,2022,Tigercat,null,Active,Stag,null
T630-2,Tigercat 630D,2015,Tigercat,6303620,Active,Viking,null
D6D-1,CAT D6D,1980,CAT,31X1306,Active,Hiwipango,Winch
D6C-1,CAT D6C,1973,CAT,SN: 10K8293,Active,Hiwipango,Winch
D65-1,Komatsu D65,1993,Komatsu,Vin: 61585,Active,Bull,Rippers
D6H-1,CAT D6H,1994,CAT,4YF04074,Active,Viking,Rippers
TD15-1,TD15,0,International Harvester,Vin: 2U001471,Active,Hiwipango,null
D7H-1,CAT D7H Dozer,1995,CAT,S/N : 5WB00676,Active,L9,Blade and Ripper
Bell-1,Bell Ultra #1,1996,Bell,4962,Active,CHAMOIS,Grapple MSP 30158
Bell-3,Bell Ultra - 4 wheeler,1996,Bell,5413,Active,Hiwipango,Grapple
Bell-4,Bell Ultra,2000,Bell,5169,Active,Chamois,Grapple
Bell-5,Bell Ultra,2014,Bell,AEB4182110R000128,Active,NBL765,Grapple
Bell-6,Bell Telelogger,2021,Bell,AEBA883FV01100149,Active,Hiwipango,Grapple
TMY50-1,Thunderbird TMY 50 -1,1986,Thunderbird,R5063,Active,Hiwipango,Chains
M123,Madil 123,1991,Madill,12310,Active,BBC,Grapple
Alpine,Alpine Grapple - Sold 2022,null,Alpine,AGC2014-016,Terminated,0,null
W88,Washington 88,1987,Washington,SN 8030,Active,Hiwipango,null
TSY6255-1,Thunderbird TSY 6255,null,Thunderbird,1993-002,Active,Bull,null
Howe Line,Howe line Slack Pulling Carriage REG14J23,null,Howe,null,Active,BRYANT,null
SY1188,Pacific 1188 Swing Yarder,null,Pacific,A-104,Active,BSW10,null
BE70,Brightwater BE70 LT Yarder,2003,Brightwater,null,Active,Bryant,null
SD03,Harvestech Delimber,2009,Harvestech,2226,Active,0,null
SD04,Harvestech Series 3000 Delimber,2011,Harvestech,2310,Active,Boar,null
Canter,Mitsubishi Canter,0,Mitsubishi,null,Active,0,Flat Deck
Hiab-1,Isuzu SHH711,null,Isuzu,null,Active,0,Hiab
2628,Mercedes 2628 Old Yellow,null,Mercedes,WDB34303464787736,Active,0,Tractor Unit
2538,Mercedes 2538 Dark Green,null,Mercedes,WDB6581472K149897,Active,Hiwipango,Tractor Unit
2638,Mercedes 2638 6x6 Yellow BBC,null,Mercedes,WDB6593412K303225,Active,Hiwipango,Tractor Unit
Hiab-2,Hino Hiab - 2,null,Hino,HO7C,Active,0,null
Foden Truck,Foden 6x4 Tip truck - (Bollicks),1996,Foden,KGE243/SFNS104T1T0302208,Active,Stag,Bin truck
B30E,Bell B30E Forwarder,null,Bell,AEBA830ET03010268,Active,Bryant,null
